filename,inst,col,Inbound,Outbound,Outflux,Influx,Missing
empfaenger_dringlichkeit,ET,EDringlCodeET,0.0,8.488098329205888e-06,1.0,0.0,0.0
empfaenger_dringlichkeit,ET,EDringlDateET,0.0,8.488098329205888e-06,1.0,0.0,0.0
empfaenger_dringlichkeit,ET,EDringlGrundET,6.377551020408164e-05,0.0,0.0,0.4766499889370267,0.5323735272077933
empfaenger_dringlichkeit,ET,EDringlIdEmpfaengerNrETET,0.0,8.488098329205888e-06,1.0,0.0,0.0
empfaenger_dringlichkeit,ET,EDringlOrganET,0.0,8.488098329205888e-06,1.0,0.0,0.0
empfaenger,ET,EBasisAnzahlKinderET,0.0010043705928121608,0.00018826004873613713,0.06816704811957842,0.8709800348667093,0.8853818376354152
empfaenger,ET,EBasisAnzahlSchwangerschaftenET,0.0010021907653268167,0.00019720920371868564,0.08473905795258682,0.8480845211083758,0.8639828808345593
empfaenger,ET,EBasisBlutgrET,0.0,0.00031654621152072044,1.0,0.0,0.0
empfaenger,ET,EBasisBluttransfusionNachRegistrierungET,0.0009839519707624002,0.000272765542970621,0.3948320194399706,0.5221464927419426,0.5417948375016718
empfaenger,ET,EBasisBluttransfusionVorRegistrierungET,0.0009526125354845972,0.0002787168778574654,0.5668390268712384,0.33237260072361563,0.356225758994249
empfaenger,ET,EBasisGeburtsdatumET,0.0,0.00031654621152072044,1.0,0.0,0.0
empfaenger,ET,EBasisGeschlechtET,0.0,0.00031654621152072044,1.0,0.0,0.0
empfaenger,ET,EBasisGewichtEinheitET,0.0,0.00031654621152072044,1.0,0.0,0.0
empfaenger,ET,EBasisGewichtWertET,0.0,0.00031654621152072044,1.0,0.0,0.0
empfaenger,ET,EBasisGroesseEinheitET,0.0,0.00031654621152072044,1.0,0.0,0.0
empfaenger,ET,EBasisGroesseWertET,0.0,0.00031654621152072044,1.0,0.0,0.0
empfaenger,ET,EBasisLandET,0.0,0.00031654621152072044,1.0,0.0,0.0
empfaenger,ET,EBasisNationalitaetET,0.0010148977347083034,0.00031067687559715844,0.49939250091831255,0.4882478164504288,0.4911729303196469
empfaenger,ET,EBasisPLZET,0.0,0.00031654621152072044,1.0,0.0,0.0
empfaenger,ET,EBasisRhesusfaktorET,0.0,0.00031654621152072044,1.0,0.0,0.0
empfaenger,ET,EBasisTodesdatumET,0.0009960035125603105,0.0002182636507481418,0.13971066090248932,0.7778736563614224,0.7973786277918952
empfaenger,ET,EBasisTodesursacheET,0.0009960035125603105,0.0002182636507481418,0.13971066090248932,0.7778736563614224,0.7973786277918952
empfaenger,ET,EBasisZentrumKontaktierungET,0.0,0.00031654621152072044,1.0,0.0,0.0
empfaenger,ET,EBasisZentrumRegistrierungET,0.0,0.00031654621152072044,1.0,0.0,0.0
empfaenger,ET,EIdEmpfaengerNrETET,0.0,0.00031654621152072044,1.0,0.0,0.0
empfaenger,IQTIG,EBasisBlutgrIQTIG,0.0002681661707714249,0.0,0.0,0.08851457052424783,0.1622977129864919
empfaenger,IQTIG,EBasisGeburtsdatumIQTIG,0.0,6.745757729176538e-06,0.1449814126394052,0.0,0.06921225090276849
empfaenger,IQTIG,EBasisGeschlechtIQTIG,0.0,6.745757729176538e-06,0.1449814126394052,0.0,0.06921225090276849
empfaenger,IQTIG,EBasisGewichtEinheitIQTIG,5.798515502717764e-07,6.675126376145303e-06,0.14343246592317224,8.185687779677666e-05,0.06941286612277651
empfaenger,IQTIG,EBasisGewichtWertIQTIG,5.798515502717764e-07,6.675126376145303e-06,0.14343246592317224,8.185687779677666e-05,0.06941286612277651
empfaenger,IQTIG,EBasisGroesseEinheitIQTIG,5.798515502717764e-07,6.675126376145303e-06,0.14343246592317224,8.185687779677666e-05,0.06941286612277651
empfaenger,IQTIG,EBasisGroesseWertIQTIG,5.798515502717764e-07,6.675126376145303e-06,0.14343246592317224,8.185687779677666e-05,0.06941286612277651
empfaenger,IQTIG,EIdEmpfaengerNrETIQTIG,0.0,6.745757729176538e-06,0.1449814126394052,0.0,0.06921225090276849
empfaenger_immunologie,ET,EImmAntigenAkzeptabelET,4.52377109999266e-05,6.535750555538798e-05,0.0014828117447131808,0.999238721252924,0.9988587631405632
empfaenger_immunologie,ET,EImmAntigenInakzeptabelET,4.542836050091173e-05,6.061400133539622e-05,0.023808399216536744,0.9847475958515339,0.980242022653803
empfaenger_immunologie,ET,EImmAntikoerperNichtZytotoxischET,4.5165537048599845e-05,4.183444626832076e-05,0.005364452113371033,0.9923419382425193,0.9935497493803637
empfaenger_immunologie,ET,EImmAutoantikoerperET,3.1208018995574e-05,4.9058306900781735e-05,0.8957705445552017,0.056259729080904035,0.08152050958488137
empfaenger_immunologie,ET,EImmCrossMatchDTTET,4.408406757571059e-05,4.470084746574193e-05,0.14989010812315529,0.8104360025599535,0.8313282086603287
empfaenger_immunologie,ET,EImmDiagnostikScreeningverfahrenET,3.121641278340926e-05,4.90578834027779e-05,0.8956941679421226,0.05632344844739939,0.08159089423700523
empfaenger_immunologie,ET,EImmDiagnostikZentrumET,2.5137502136687682e-05,5.0296140866253653e-05,0.999591988093288,0.00016209312529519114,0.00029159355879883564
empfaenger_immunologie,ET,EImmDonorFrequencyETKASET,4.521829727419752e-05,4.541508719361574e-05,0.0004085143844296225,0.9994986291952076,0.9995475272363467
empfaenger_immunologie,ET,EImmDonorFrequencyHET,4.521829727419752e-05,4.541508719361574e-05,0.0004085143844296225,0.9994986291952076,0.9995475272363467
empfaenger_immunologie,ET,EImmEingabeDateET,0.0,5.030199864992519e-05,1.0,0.0,0.0
empfaenger_immunologie,ET,EImmErgebnisTypET,0.0,5.030199864992519e-05,1.0,0.0,0.0
empfaenger_immunologie,ET,EImmHLAPhaenotypisierungET,4.61592123915011e-05,6.53600899456008e-05,0.0762469738279456,0.9608595407175136,0.9413193100293101
empfaenger_immunologie,ET,EImmIdEmpfaengerNrETET,0.0,5.030199864992519e-05,1.0,0.0,0.0
empfaenger_immunologie,ET,EImmPRAEinheitET,3.1208018995574e-05,4.9058306900781735e-05,0.8957705445552017,0.056259729080904035,0.08152050958488137
empfaenger_immunologie,ET,EImmPRAWertET,3.1208018995574e-05,4.9058306900781735e-05,0.8957705445552017,0.056259729080904035,0.08152050958488137
empfaenger_immunologie,ET,EImmProbeDateET,0.0,5.030199864992519e-05,1.0,0.0,0.0
empfaenger_immunologie,ET,EImmSpezifitaetenET,4.48798980700667e-05,4.34305606960686e-05,0.04077656926303603,0.9455953987910088,0.9527718984248921
empfaenger_immunologie,ET,EImmvPRAEinheitET,4.526247719745491e-05,5.486183625090768e-05,0.009946546420398987,0.9917997646854975,0.9908801600748088
empfaenger_immunologie,ET,EImmvPRAWertET,4.526247719745491e-05,5.486183625090768e-05,0.009946546420398987,0.9917997646854975,0.9908801600748088
empfaenger_virologie,ET,EVirCMVIgGET,0.0,0.0,,0.0,0.0
empfaenger_virologie,ET,EVirCMVIgMET,0.0,0.0,,0.0,0.0
empfaenger_virologie,ET,EVirEBVIgGET,0.0,0.0,,0.0,0.0
empfaenger_virologie,ET,EVirEingabeDateET,0.0,0.0,,0.0,0.0
empfaenger_virologie,ET,EVirHBImmunisiertET,0.0,0.0,,0.0,0.0
empfaenger_virologie,ET,EVirHBcAbET,0.0,0.0,,0.0,0.0
empfaenger_virologie,ET,EVirHBsABET,0.0,0.0,,0.0,0.0
